"Table 252-0051 Incident-based crime statistics, by detailed violations, annual (number unless otherwise noted)(1,2,3,54)"
Survey or program details:
Uniform Crime Reporting Survey - 3302
"Geography (3,47)",Violations,Statistics,2011,2012,2013,2014,2015
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ","Total, youth not charged (39,40)",457,467,485,334,302
"Sherbrooke, Quebec (32,37)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3652.20,3819.42,4063.00,2873.86,2600.98
"Trois-Rivières, Quebec","Total, all violations [0] ",Actual incidents,8363,8330,7996,7285,7193
"Trois-Rivières, Quebec","Total, all violations [0] ","Rate per 100,000 population",5478.51,5424.80,5185.14,4703.85,4624.71
"Trois-Rivières, Quebec","Total, all violations [0] ",Percentage change in rate (22),-6.83,-0.98,-4.42,-9.28,-1.68
"Trois-Rivières, Quebec","Total, all violations [0] ",Total cleared,4904,4522,4350,3890,3837
"Trois-Rivières, Quebec","Total, all violations [0] ",Cleared by charge,3436,3200,3250,2744,2754
"Trois-Rivières, Quebec","Total, all violations [0] ",Cleared otherwise,1468,1322,1100,1146,1083
"Trois-Rivières, Quebec","Total, all violations [0] ","Total, persons charged (23)",2765,2560,2608,2334,2224
"Trois-Rivières, Quebec","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2018.99,1860.22,1889.83,1686.31,1601.03
"Trois-Rivières, Quebec","Total, all violations [0] ","Total, adult charged",2500,2357,2403,2143,2081
"Trois-Rivières, Quebec","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1960.65,1832.34,1856.21,1646.04,1590.27
"Trois-Rivières, Quebec","Total, all violations [0] ","Total, youth charged (39,40)",265,203,205,191,143
"Trois-Rivières, Quebec","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2806.91,2259.32,2399.06,2324.17,1775.74
"Trois-Rivières, Quebec","Total, all violations [0] ","Total, youth not charged (39,40)",338,404,302,266,234
"Trois-Rivières, Quebec","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",3580.13,4496.38,3534.23,3236.80,2905.75
"Montréal, Quebec (38,50,53)","Total, all violations [0] ",Actual incidents,209983,203784,185629,172169,166777
"Montréal, Quebec (38,50,53)","Total, all violations [0] ","Rate per 100,000 population",5399.03,5170.45,4652.48,4269.72,4101.92
"Montréal, Quebec (38,50,53)","Total, all violations [0] ",Percentage change in rate (22),-4.35,-4.23,-10.02,-8.23,-3.93
"Montréal, Quebec (38,50,53)","Total, all violations [0] ",Total cleared,81922,83366,78800,75579,74285
"Montréal, Quebec (38,50,53)","Total, all violations [0] ",Cleared by charge,60960,63364,60106,55977,55919
"Montréal, Quebec (38,50,53)","Total, all violations [0] ",Cleared otherwise,20962,20002,18694,19602,18366
"Montréal, Quebec (38,50,53)","Total, all violations [0] ","Total, persons charged (23)",52016,53657,50935,48200,49817
"Montréal, Quebec (38,50,53)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",1532.93,1561.40,1465.72,1373.72,1409.57
"Montréal, Quebec (38,50,53)","Total, all violations [0] ","Total, adult charged",47703,48927,46803,44746,46388
"Montréal, Quebec (38,50,53)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",1525.38,1539.98,1452.44,1371.69,1409.74
"Montréal, Quebec (38,50,53)","Total, all violations [0] ","Total, youth charged (39,40)",4313,4730,4132,3454,3429
"Montréal, Quebec (38,50,53)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",1621.73,1823.85,1635.09,1400.51,1407.35
"Montréal, Quebec (38,50,53)","Total, all violations [0] ","Total, youth not charged (39,40)",6794,5992,5164,4824,4578
"Montréal, Quebec (38,50,53)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",2554.62,2310.46,2043.47,1956.01,1878.92
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ",Actual incidents,16629,16893,15063,16196,16326
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ","Rate per 100,000 population",5266.54,5283.17,4665.84,4972.12,4975.91
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ",Percentage change in rate (22),-6.92,0.32,-11.68,6.56,0.08
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ",Total cleared,9509,9926,9006,9280,9211
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ",Cleared by charge,6337,6719,6044,6531,6228
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ",Cleared otherwise,3172,3207,2962,2749,2983
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ","Total, persons charged (23)",6197,6524,5921,6575,6271
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ","Rate, total persons charged per 100,000 population aged 12 years and over (31)",2274.73,2365.30,2128.38,2344.86,2227.08
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ","Total, adult charged",5580,5970,5508,6134,5791
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ","Rate, adult charged per 100,000 population aged 18 years and over (31)",2237.08,2354.93,2147.23,2366.26,2221.12
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ","Total, youth charged (39,40)",617,554,413,441,480
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ","Rate, youth charged per 100,000 population aged 12 to 17 years (31)",2683.08,2483.19,1905.25,2082.84,2301.50
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ","Total, youth not charged (39,40)",973,822,707,734,721
"Ottawa-Gatineau, Quebec part (6,61)","Total, all violations [0] ","Rate, youth not charged per 100,000 population aged 12 to 17 years (31)",4231.17,3684.45,3261.52,3466.68,3457.04
"Ontario (7,67)","Total, all violations [0] ",Actual incidents,636172,618486,566931,547570,550391
"Ontario (7,67)","Total, all violations [0] ","Rate per 100,000 population",4796.40,4612.28,4183.68,4003.38,3990.64
"Ontario (7,67)","Total, all violations [0] ",Percentage change in rate (22),-5.46,-3.84,-9.29,-4.31,-0.32
